id,category,question,expected_company,predicted_company,company_correct,expected_tool,predicted_tool,tool_correct,expected_behavior,answer,answer_valid,behavior_correct,error
R001,PARAPHRASE,How has Apple's revenue changed over time?,Apple,Apple,True,get_revenue_growth,get_revenue_growth,True,ROUTE,"Apple's revenue fluctuated significantly over the years, growing from $229.23 billion in 2017 to $394.33 billion in 2022, before declining slightly to $383.29 billion in 2023. Revenue growth rates ranged widely, peaking at 33.26% in 2021 but dropping to -2.80% in 2023.",True,True,
R002,PARAPHRASE,Tell me about Apple's revenue growth.,Apple,Apple,True,get_revenue_growth,get_revenue_growth,True,ROUTE,"Apple's revenue experienced fluctuating growth patterns over the years. It grew by 15.86% annually from 2017 to 2018, declined by 2.04% from 2018 to 2019, increased by 5.51% from 2019 to 2020, surged by 33.26% from 2020 to 2021, rose by 7.79% from 2021 to 2022, fell by 2.80% from 2022 to 2023, and finally increased by 2.02% from 2023 to 2024.",False,False,
R003,PARAPHRASE,Has Apple's revenue been increasing?,Apple,Apple,True,get_revenue_growth,get_revenue_growth,True,ROUTE,"Yes, Apple's revenue has generally increased since 2018, growing from $229.23 billion in 2017 to $391.04 billion in 2024, reflecting a cumulative increase of about 66%.",False,False,
R004,PARAPHRASE,How is Apple becoming more profitable?,Apple,Apple,True,get_profit_margin,get_profit_margin,True,ROUTE,"Apple became more profitable over time through higher net profit margins (ranging from 21.09% in 2017 to 25.88% in 2025), consistent revenue growth, and maintaining stable asset ratios and positive operating cash flows. Revenue increased at a slower pace relative to net income growth, indicating a focus on profitability despite steady revenue expansion.",False,False,
R005,PARAPHRASE,Has Apple's profit margin improved over the years?,Apple,Apple,True,get_profit_margin,get_profit_margin,True,ROUTE,"Yes, Apple's profit margin has shown mixed fluctuations over the years, generally increasing from around 21% in 2017 to 25.88% in 2025.",False,False,
R006,PARAPHRASE,How has Apple's profitability changed?,Apple,Apple,True,get_profit_margin,get_profit_margin,True,ROUTE,"Apple's profitability has shown mixed fluctuations since 2017. While there were periods of improvement, particularly from 2017 to 2022, the company's net profit margin decreased significantly starting in 2023 and 2024, hovering around 25% to 26%. The overall profitability remained positive but showed volatility throughout the years.",False,False,
R007,PARAPHRASE,How have Apple's assets changed over the years?,Apple,Apple,True,get_asset_growth,get_asset_growth,True,ROUTE,"Over the years, Apple's total assets have fluctuated between $323.89 billion in 2020 and $375.32 billion in 2017. The asset growth rates range from -4.32% in 2020 to +8.37% in 2021, indicating mixed performance where assets grew slightly faster than inflation but still decreased overall compared to the earlier years.",True,True,
R008,PARAPHRASE,Are Apple's assets increasing?,Apple,Apple,True,get_asset_growth,get_asset_growth,True,ROUTE,"Yes, Apple's assets have been fluctuating but show mixed trends, increasing slightly in some years (like 2024) and decreasing in others (like 2023). The overall increase since 2017 was approximately 2% annually on average.",False,False,
R009,PARAPHRASE,Tell me about Apple's asset growth.,Apple,Apple,True,get_asset_growth,get_asset_growth,True,ROUTE,"Apple's total assets have fluctuated over time. In 2017, assets were $375.32 billion, declining to $352.75 billion in 2024. The asset growth rates vary significantly; from -2.56% in 2018 to +8.37% in 2021 and then back to -0.05% in 2023. This indicates mixed performance with periods of contraction followed by modest gains.",True,True,
R010,PARAPHRASE,How has Amazon's revenue changed over time?,Amazon,Amazon,True,get_revenue_growth,get_revenue_growth,True,ROUTE,"Amazon's revenue has shown mixed fluctuations over time. It grew from $135.99 billion in 2016 to $574.78 billion in 2023, experiencing significant increases followed by declines. Revenue grew by 37.62% in 2020 and increased further by 11.83% in 2023, while it decreased by 20.45% in 2019. The overall trend indicates consistent but varying performance.",True,True,
R011,PARAPHRASE,Has Amazon's revenue been increasing?,Amazon,Amazon,True,get_revenue_growth,get_revenue_growth,True,ROUTE,"Yes, Amazon's revenue has been increasing since 2016. The company experienced fluctuating growth rates over time, but overall there was a consistent upward trend in revenue.",True,True,
R012,PARAPHRASE,Tell me about Amazon's revenue growth.,Amazon,Amazon,True,get_revenue_growth,get_revenue_growth,True,ROUTE,"Amazon's revenue grew from $135.99 billion in 2016 to $574.78 billion in 2023, indicating a fluctuating but generally positive trend over the past seven years.",True,True,
R013,COMPANY_VARIATION,How has Apple Inc.'s revenue grown?,Apple,Apple Inc.,False,get_revenue_growth,get_revenue_growth,True,ROUTE,"Apple Inc.'s revenue grew from $229.23 billion in 2017 to $394.33 billion in 2024, representing a fluctuating growth pattern over time. The company experienced significant revenue growth in recent years, with a notable increase of 33.26% in 2021 followed by steady growth until 2024. However, there have been periods of decline, including a -2.80% decrease in 2023.",True,False,
R014,COMPANY_VARIATION,How is Apple Inc.'s profitability changing?,Apple,Apple Inc.,False,get_profit_margin,get_profit_margin,True,ROUTE,"Apple Inc.'s profitability (net profit margin) fluctuates between 21.09% in 2017 and 25.88% in 2021, showing improvement but also some fluctuations over time.",True,False,
R015,COMPANY_VARIATION,How quickly are Apple Inc.'s assets growing?,Apple,Apple Inc.,False,get_asset_growth,get_asset_growth,True,ROUTE,"Apple Inc.'s assets have fluctuated between -2.56% and +8.37%, showing mixed growth patterns over the past few years.",True,False,
R016,COMPANY_VARIATION,How has Amazon.com Inc.'s revenue grown?,Amazon,,False,get_revenue_growth,,False,ROUTE,,False,False,Company not found: amazon.com inc.
R017,COMPANY_VARIATION,How profitable is Amazon.com Inc.?,Amazon,,False,get_profit_margin,,False,ROUTE,,False,False,Company not found: amazon.com inc.
R018,COMPANY_VARIATION,How quickly are Amazon.com's assets growing?,Amazon,,False,get_asset_growth,,False,ROUTE,,False,False,Company not found: amazon.com
R019,AMBIGUOUS,How is Apple doing?,,Apple,,,get_latest_summary,,CLARIFICATION,"Apple's latest financial summary shows strong performance across various metrics. Revenue increased by 6.43% compared to the previous fiscal year, reaching $416.16 billion. Net income grew by 112.01%, bringing the figure to $112.01 billion. Total assets reached $359.24 billion, while liabilities stood at $285.51 billion, resulting in a liability-to-asset ratio of 79.48%. Operating cash flow was substantial at $111.48 billion, representing a margin of 26.79% on revenue. The company also reported a profit margin of 26.92%, indicating efficient operations despite higher revenues. Overall, these figures suggest steady progress and profitability for Apple.",True,,
