id,description,expected_behavior,classification,test_outcome,result,error
E001,Revenue metric completely unavailable,FAIL_GRACEFULLY,DATA_HANDLING_FAILURE,EXPECTED,,Required financial columns are missing: ['revenue']
E002,Net income metric completely unavailable,FAIL_GRACEFULLY,DATA_HANDLING_FAILURE,EXPECTED,,Required financial columns are missing: ['net_income']
E003,Revenue contains missing values,VALID_RESULT,PASS,EXPECTED,"   fiscal_year  revenue  revenue_growth_pct
0         2023    100.0                 NaN
1         2024      NaN                 NaN
2         2025    120.0                 NaN",
E004,Net income contains missing values,VALID_RESULT,PASS,EXPECTED,"   fiscal_year  revenue  net_income  net_profit_margin_pct
0         2023      100        10.0                   10.0
1         2024      110         NaN                    NaN
2         2025      120        15.0                   12.5",
E005,Company has negative net income,VALID_RESULT,PASS,EXPECTED,"   fiscal_year  revenue  net_income  net_profit_margin_pct
0         2023      100         -10             -10.000000
1         2024      110          -5              -4.545455
2         2025      120           8               6.666667",
E006,Only one year of revenue available for CAGR,RETURN_NAN,EXPECTED_UNDEFINED,EXPECTED,nan,
E007,Only one year of net income available for CAGR,RETURN_NAN,EXPECTED_UNDEFINED,EXPECTED,nan,
E008,Revenue is zero when calculating profit margin,NO_CRASH,PASS,EXPECTED,"   fiscal_year  revenue  net_income  net_profit_margin_pct
0         2024      100          10                   10.0
1         2025        0           5                    NaN",
E009,Revenue is zero when calculating operating cash flow margin,NO_CRASH,PASS,EXPECTED,"   fiscal_year  revenue  operating_cash_flow  operating_cash_flow_margin_pct
0         2024      100                   10                            10.0
1         2025        0                    5                             NaN",
E010,Assets are zero when calculating liability to asset ratio,NO_CRASH,PASS,EXPECTED,"   fiscal_year  assets  liabilities  liability_to_asset_pct
0         2024     100           50                    50.0
1         2025       0           20                     NaN",
E011,Fiscal years contain gaps,SEMANTIC_REVIEW,SEMANTIC_WARNING,EXPECTED,"   fiscal_year  revenue  revenue_growth_pct
0         2021      100                 NaN
1         2023      120                20.0
2         2025      150                25.0",
E012,Different financial metrics have different available years,SEMANTIC_REVIEW,SEMANTIC_WARNING,EXPECTED,"{'revenue_cagr_pct': 9.544511501033215, 'net_income_cagr_pct': 22.474487139158896, 'average_revenue_growth_pct': 9.545454545454547, 'average_net_income_growth_pct': nan, 'starting_profit_margin_pct': 10.0, 'latest_profit_margin_pct': 12.5, 'profit_margin_change_pct': 2.5}",
E013,No financial records available,FAIL_GRACEFULLY,DATA_HANDLING_FAILURE,EXPECTED,,No financial records are available.
E014,Revenue experiences an extreme increase,VALID_RESULT,PASS,EXPECTED,"   fiscal_year  revenue  revenue_growth_pct
0         2024        1                 NaN
1         2025  1000000          99999900.0",
E015,Revenue experiences an extreme decline,VALID_RESULT,PASS,EXPECTED,"   fiscal_year  revenue  revenue_growth_pct
0         2024  1000000                 NaN
1         2025        1            -99.9999",
