question,expected_tool,predicted_tool,correct
How has Apple's revenue grown over the years?,get_revenue_growth,get_revenue_growth,True
Is Apple's revenue increasing?,get_revenue_growth,get_revenue_growth,True
What has Apple's sales growth looked like?,get_revenue_growth,get_revenue_growth,True
How quickly is Apple's revenue growing?,get_revenue_growth,get_revenue_cagr,False
Has Apple's revenue been growing consistently?,get_revenue_growth,get_revenue_vs_income_growth,False
What is Apple's revenue growth rate?,get_revenue_growth,get_revenue_growth,True
How has Apple's profit margin changed?,get_profit_margin,get_profit_margin,True
Is Apple becoming more profitable?,get_profit_margin,get_profit_margin,True
Is Apple's profitability improving?,get_profit_margin,get_profit_margin,True
What is Apple's net profit margin?,get_profit_margin,get_profit_margin,True
Has Apple's profitability increased?,get_profit_margin,get_profit_margin,True
How profitable is Apple compared with previous years?,get_profit_margin,get_profit_margin,True
How quickly are Apple's assets growing?,get_asset_growth,get_asset_growth,True
Are Apple's assets increasing over time?,get_asset_growth,get_asset_growth,True
Has Apple's balance sheet grown?,get_asset_growth,,False
What is Apple's asset growth rate?,get_asset_growth,get_asset_growth,True
Are Apple's total assets increasing?,get_asset_growth,get_asset_growth,True
How have Apple's assets changed over the years?,get_asset_growth,get_asset_growth,True
How much of Apple's assets are financed by liabilities?,get_liability_to_asset_ratio,get_liability_to_asset_ratio,True
Is Apple highly dependent on liabilities?,get_liability_to_asset_ratio,get_liability_to_asset_ratio,True
What percentage of Apple's assets are liabilities?,get_liability_to_asset_ratio,get_liability_to_asset_ratio,True
How leveraged is Apple based on its liabilities?,get_liability_to_asset_ratio,get_liability_to_asset_ratio,True
Has Apple's liability-to-asset ratio changed?,get_liability_to_asset_ratio,get_liability_to_asset_ratio,True
How large are Apple's liabilities relative to its assets?,get_liability_to_asset_ratio,get_liability_to_asset_ratio,True
How strong is Apple's operating cash flow?,get_operating_cash_flow_margin,get_operating_cash_flow_margin,True
How much cash does Apple generate from operations relative to sales?,get_operating_cash_flow_margin,get_operating_cash_flow_margin,True
Is Apple's operating cash flow improving?,get_operating_cash_flow_margin,get_operating_cash_flow_margin,True
How efficiently does Apple generate operating cash flow?,get_operating_cash_flow_margin,get_operating_cash_flow_margin,True
What is Apple's operating cash flow margin?,get_operating_cash_flow_margin,get_operating_cash_flow_margin,True
How has Apple's operating cash flow performed?,get_operating_cash_flow_margin,get_operating_cash_flow_margin,True
What is Apple's long-term revenue growth rate?,get_revenue_cagr,get_revenue_cagr,True
How fast has Apple's revenue grown annually over the long term?,get_revenue_cagr,get_revenue_cagr,True
What is Apple's revenue CAGR?,get_revenue_cagr,get_revenue_cagr,True
What has Apple's average annual revenue growth been?,get_revenue_cagr,get_revenue_cagr,True
How quickly has Apple grown its revenue over the long term?,get_revenue_cagr,get_revenue_cagr,True
What is Apple's long-term sales growth?,get_revenue_cagr,get_revenue_growth,False
How quickly has Apple's net income grown over the long term?,get_net_income_cagr,get_net_income_cagr,True
What is Apple's net income CAGR?,get_net_income_cagr,get_net_income_cagr,True
How fast has Apple's profit grown annually?,get_net_income_cagr,get_profit_margin,False
What has Apple's long-term net income growth been?,get_net_income_cagr,get_net_income_cagr,True
How quickly has Apple's net income increased over the years?,get_net_income_cagr,get_net_income_cagr,True
What is Apple's average annual net income growth?,get_net_income_cagr,get_net_income_cagr,True
Is Apple's net income growing faster than its revenue?,get_revenue_vs_income_growth,get_net_income_cagr,False
Has Apple's profit growth outpaced revenue growth?,get_revenue_vs_income_growth,get_revenue_vs_income_growth,True
Is net income growing faster than sales?,get_revenue_vs_income_growth,get_net_income_cagr,False
How does Apple's revenue growth compare with net income growth?,get_revenue_vs_income_growth,get_revenue_vs_income_growth,True
Has Apple's income growth kept up with its revenue growth?,get_revenue_vs_income_growth,get_revenue_vs_income_growth,True
Compare Apple's revenue growth with its net income growth,get_revenue_vs_income_growth,get_revenue_vs_income_growth,True
What are Apple's latest financial results?,get_latest_summary,get_latest_summary,True
What does Apple's latest financial year look like?,get_latest_summary,get_latest_summary,True
Give me Apple's latest financial summary,get_latest_summary,get_latest_summary,True
What are Apple's most recent financial metrics?,get_latest_summary,get_latest_summary,True
Summarize Apple's latest financial performance,get_latest_summary,get_latest_summary,True
Give me an overview of Apple's latest financial results,get_latest_summary,get_latest_summary,True
